recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
Turkey and ham sandwich on wheat,Quantity not specified,145.0,73.0,19.65,1.6,3.84,35.0,13.94,679.0,0.0,0.0,0.2,28.4925,20.213,5.568,105.85,2.32,50.75,984.55,0.0,0.29,0.0
"Turkey and ham sandwich on wheat, with cheese","1 sandwich, any size",165.0,178.0,17.79,1.46,6.97,34.0,14.76,721.0,34.0,0.0,0.7,29.3535,24.354,11.500499999999999,293.7,2.4090000000000003,56.1,1189.65,0.0,1.1549999999999998,56.1
Turkey and ham sandwich on white,"1 sandwich, any size",145.0,93.0,21.22,1.69,3.68,22.0,13.12,683.0,0.0,0.0,0.2,30.768999999999995,19.023999999999997,5.336,134.85,2.4505,31.9,990.35,0.0,0.29,0.0
"Turkey and ham sandwich on white, with cheese",Quantity not specified,165.0,196.0,19.16,1.53,6.83,23.0,14.04,725.0,34.0,0.0,0.7,31.614,23.166,11.2695,323.4,2.5245,37.95,1196.25,0.0,1.1549999999999998,56.1
"Turkey and ham sandwich or sub, restaurant","1 regular or 6"" submarine",250.0,82.0,18.57,1.53,3.69,22.0,13.47,705.0,0.0,0.0,0.3,46.425,33.675,9.225,205.0,3.825,55.0,1762.5,0.0,0.75,0.0
"Turkey and ham sandwich or sub, with cheese, restaurant",1 regular,195.0,200.0,16.62,1.38,7.26,23.0,14.47,749.0,39.0,0.0,0.7,32.409,28.2165,14.157,390.0,2.691,44.85,1460.55,0.0,1.365,76.05
"Turkey bacon, cooked","1 slice, NFS",11.0,163.0,4.24,2.63,25.87,30.0,29.5,2021.0,19.0,0.0,1.2,0.4664,3.245,2.8457,17.93,0.2893,3.3,222.31,0.0,0.132,2.09
"Turkey bacon, reduced sodium, cooked",1 medium slice (yield after cooking),11.0,10.0,4.8,0.72,20.0,19.0,13.33,900.0,8.0,24.0,0.2,0.528,1.4663,2.2,1.1,0.07919999999999999,2.09,99.0,2.64,0.022000000000000002,0.88
"Turkey ham, prepackaged or deli, luncheon meat",Guideline amount on regular sandwich,56.0,14.0,2.2,0.42,3.77,19.0,14.81,810.0,0.0,0.0,0.2,1.2320000000000002,8.2936,2.1112,7.84,0.2352,10.64,453.6,0.0,0.11200000000000002,0.0
"Turkey light or dark meat, stewed, skin eaten","1 cup, diced, cooked",135.0,13.0,0.14,0.96,8.52,22.0,30.25,576.0,17.0,0.0,0.4,0.18900000000000003,40.8375,11.502,17.55,1.296,29.7,777.6,0.0,0.54,22.95
Turkey or chicken and pork sausage,1 patty,35.0,32.0,0.7,1.62,23.0,19.0,22.7,878.0,0.0,1.1,2.0,0.245,7.945,8.05,11.2,0.5670000000000001,6.65,307.3,0.385,0.7,0.0
"Turkey or chicken burger, on wheat bun",Quantity not specified,145.0,83.0,18.74,2.19,7.72,41.0,20.7,334.0,14.0,0.0,0.1,27.173,30.015,11.193999999999999,120.35,3.1755,59.45,484.3,0.0,0.145,20.3
"Turkey or chicken burger, on white bun",1 sandwich,145.0,76.0,20.68,2.3,7.69,27.0,20.03,356.0,14.0,0.5,0.1,29.986,29.043500000000005,11.1505,110.2,3.335,39.15,516.2,0.725,0.145,20.3
Turkey or chicken sausage,1 bun-size or griller link,75.0,38.0,1.09,1.38,12.24,22.0,19.65,705.0,0.0,0.0,0.5,0.8175,14.7375,9.18,28.5,1.035,16.5,528.75,0.0,0.375,0.0
"Turkey or chicken sausage, reduced sodium","1 oz, cooked",28.35,0.0,13.32,1.21,10.7,40.0,20.03,417.0,0.0,0.0,0.4,3.7762200000000004,5.678505,3.0334499999999998,0.0,0.343035,11.34,118.21950000000001,0.0,0.11340000000000001,0.0
Turkey sandwich on wheat,Quantity not specified,115.0,90.0,24.56,1.83,3.88,38.0,13.05,619.0,0.0,0.1,0.1,28.243999999999996,15.0075,4.462,103.5,2.1045000000000003,43.7,711.85,0.115,0.115,0.0
"Turkey sandwich on wheat, with cheese",1 regular,135.0,214.0,21.56,1.62,7.64,37.0,14.17,679.0,41.0,0.1,0.6,29.105999999999998,19.1295,10.313999999999998,288.9,2.1870000000000003,49.95,916.65,0.135,0.81,55.35
Turkey sandwich on white,Quantity not specified,115.0,116.0,26.51,1.94,3.68,23.0,12.03,624.0,0.0,0.0,0.1,30.4865,13.834499999999998,4.232,133.4,2.231,26.45,717.6,0.0,0.115,0.0
"Turkey sandwich on white, with cheese",Quantity not specified,135.0,236.0,23.22,1.71,7.47,24.0,13.31,683.0,41.0,0.0,0.6,31.346999999999998,17.968500000000002,10.084499999999998,318.6,2.3085,32.4,922.05,0.0,0.81,55.35
"Turkey sandwich or sub, restaurant",1 miniature/slider,65.0,105.0,23.89,1.78,3.69,23.0,12.33,644.0,0.0,0.0,0.1,15.528500000000001,8.0145,2.3985,68.25,1.157,14.95,418.6,0.0,0.065,0.0
"Turkey sandwich or sub, with cheese, restaurant",1 miniature/slider,80.0,246.0,20.55,1.54,8.07,24.0,13.76,709.0,48.0,0.0,0.7,16.44,11.008,6.456,196.8,1.232,19.2,567.2,0.0,0.56,38.4
Turkey sandwich wrap,Quantity not specified,135.0,208.0,23.3,1.83,9.4,22.0,12.77,792.0,41.0,0.0,0.6,31.455,17.2395,12.69,280.8,2.4705,29.7,1069.2,0.0,0.81,55.35
Turkey with gravy,Quantity not specified,244.0,12.0,1.58,0.74,3.46,21.0,20.46,356.0,3.0,0.0,0.2,3.8552000000000004,49.922399999999996,8.4424,29.28,1.8056,51.24,868.64,0.0,0.48800000000000004,7.32
"Turkey with gravy, dressing, potatoes, vegetable, frozen meal",Quantity not specified,262.0,27.0,16.32,0.79,3.89,18.0,6.97,326.0,44.0,0.8,0.1,42.7584,18.2614,10.1918,70.74,2.0698000000000003,47.16,854.12,2.096,0.262,115.28
"Turkey with vegetable, stuffing, diet frozen meal",1 Weight Watchers meal (8.5 oz),241.0,24.0,10.66,0.67,1.82,18.0,9.3,210.0,119.0,2.1,0.1,25.6906,22.413,4.3862,57.84,1.6147,43.38,506.1,5.061,0.24100000000000002,286.79
"Turkey, NFS",1 medium slice,60.0,11.0,0.0,0.65,2.06,31.0,28.81,467.0,3.0,0.0,0.3,0.0,17.285999999999998,1.236,6.6,0.39,18.6,280.2,0.0,0.18,1.8
"Turkey, back","1 back (yield after cooking, bone removed)",525.0,15.0,0.0,0.67,11.26,29.0,25.58,557.0,22.0,0.0,0.5,0.0,134.295,59.115,78.75,3.5175,152.25,2924.25,0.0,2.625,115.5
"Turkey, canned",1 can (5 oz) yields,125.0,14.0,0.9,1.3,8.1,19.0,25.3,482.0,53.0,0.0,0.1,1.125,31.625,10.125,17.5,1.625,23.75,602.5,0.0,0.125,66.25
"Turkey, dark meat, roasted, skin eaten","1 cup, diced, cooked",135.0,17.0,0.05,1.31,10.16,26.0,26.46,461.0,15.0,0.0,0.4,0.0675,35.721,13.716,22.95,1.7685,35.1,622.35,0.0,0.54,20.25
"Turkey, dark meat, roasted, skin not eaten",Quantity not specified,85.0,17.0,0.0,1.3,5.98,26.0,26.94,458.0,5.0,0.0,0.3,0.0,22.899,5.083,14.45,1.105,22.1,389.3,0.0,0.255,4.25
"Turkey, drumstick, cooked, skin eaten","1 cup, diced, cooked",135.0,32.0,0.0,2.28,9.74,23.0,27.64,399.0,0.0,0.0,0.1,0.0,37.314,13.149000000000001,43.2,3.0779999999999994,31.05,538.65,0.0,0.135,0.0
"Turkey, drumstick, cooked, skin not eaten","1 cup, cooked, diced",135.0,12.0,0.0,0.82,3.38,29.0,28.52,455.0,4.0,0.0,0.3,0.0,38.501999999999995,4.563,16.2,1.107,39.15,614.25,0.0,0.405,5.4
"Turkey, drumstick, roasted, skin eaten",Quantity not specified,85.0,27.0,0.0,1.87,10.07,23.0,26.86,442.0,5.0,0.0,0.2,0.0,22.831,8.5595,22.95,1.5895000000000001,19.55,375.7,0.0,0.17,4.25
"Turkey, drumstick, roasted, skin not eaten",Quantity not specified,85.0,12.0,0.0,0.82,3.38,29.0,28.52,455.0,4.0,0.0,0.3,0.0,24.241999999999997,2.873,10.2,0.6970000000000001,24.65,386.75,0.0,0.255,3.4
"Turkey, ground",Quantity not specified,85.0,31.0,0.0,1.55,11.5,29.0,26.87,412.0,30.0,0.0,0.2,0.0,22.8395,9.775,26.35,1.3175,24.65,350.2,0.0,0.17,25.5
"Turkey, light and dark meat, roasted, skin eaten",Quantity not specified,85.0,15.0,0.04,0.99,7.54,29.0,27.48,465.0,12.0,0.0,0.4,0.034,23.358,6.409,12.75,0.8415,24.65,395.25,0.0,0.34,10.2
"Turkey, light and dark meat, roasted, skin not eaten",1 large or thick slice,85.0,14.0,0.0,0.93,3.76,28.0,27.99,464.0,4.0,0.0,0.3,0.0,23.7915,3.1959999999999997,11.9,0.7905,23.8,394.4,0.0,0.255,3.4
"Turkey, light meat, breaded, baked or fried, skin eaten",1 small or thin slice,30.0,27.0,6.48,1.09,6.84,32.0,26.78,198.0,9.0,0.0,0.4,1.944,8.034,2.052,8.1,0.327,9.6,59.4,0.0,0.12,2.7
"Turkey, light meat, breaded, baked or fried, skin not eaten","1 cup, cooked, diced",135.0,26.0,6.46,1.02,3.69,32.0,27.26,197.0,3.0,0.0,0.3,8.721,36.801,4.9815,35.1,1.3769999999999998,43.2,265.95,0.0,0.405,4.05
"Turkey, light meat, roasted, skin eaten",1 small or thin slice,30.0,12.0,0.03,0.73,5.55,31.0,28.28,468.0,10.0,0.0,0.4,0.009,8.484000000000002,1.665,3.6,0.21899999999999997,9.3,140.4,0.0,0.12,3.0
"Turkey, light meat, roasted, skin not eaten","1 oz, boneless, cooked, skinless",28.35,11.0,0.0,0.65,2.06,31.0,28.81,467.0,3.0,0.0,0.3,0.0,8.167635,0.58401,3.1185,0.18427500000000002,8.7885,132.3945,0.0,0.08505000000000001,0.8505000000000001
"Turkey, light meat, skin eaten",Quantity not specified,85.0,12.0,0.03,0.73,5.55,31.0,28.28,468.0,10.0,0.0,0.4,0.0255,24.038,4.7175,10.2,0.6204999999999999,26.35,397.8,0.0,0.34,8.5
"Turkey, light meat, skin not eaten","1 oz, boneless, cooked, skinless",28.35,11.0,0.0,0.65,2.06,31.0,28.81,467.0,3.0,0.0,0.3,0.0,8.167635,0.58401,3.1185,0.18427500000000002,8.7885,132.3945,0.0,0.08505000000000001,0.8505000000000001
"Turkey, light or dark meat, fried, coated, skin eaten",1 medium slice,57.0,17.0,1.42,1.04,8.51,28.0,26.2,270.0,13.0,0.0,0.4,0.8094,14.934,4.8507,9.69,0.5928,15.96,153.9,0.0,0.228,7.41
"Turkey, light or dark meat, fried, coated, skin not eaten","1 cup, cooked, diced",135.0,16.0,1.42,1.01,5.06,28.0,27.22,274.0,6.0,0.0,0.3,1.9169999999999998,36.747,6.8309999999999995,21.6,1.3635,37.8,369.9,0.0,0.405,8.1
"Turkey, light or dark meat, smoked, skin eaten",Quantity not specified,85.0,26.0,0.0,1.79,9.7,25.0,28.1,996.0,0.0,0.0,0.0,0.0,23.885,8.245,22.1,1.5215,21.25,846.6,0.0,0.0,0.0
"Turkey, light or dark meat, smoked, skin not eaten","1 oz, boneless, cooked, skinless",28.35,25.0,0.0,1.78,5.0,26.0,29.3,996.0,0.0,0.0,0.1,0.0,8.306550000000001,1.4175,7.0875,0.50463,7.371,282.36600000000004,0.0,0.028350000000000004,0.0
"Turkey, light or dark meat, stewed, skin not eaten","1 cup, cooked, diced",135.0,16.0,0.19,1.18,2.66,37.0,31.18,610.0,12.0,0.0,0.3,0.2565,42.093,3.591,21.6,1.5929999999999997,49.95,823.5,0.0,0.405,16.2
"Turkey, neck",Quantity not specified,85.0,58.0,0.0,1.17,7.3,18.0,22.29,566.0,0.0,0.0,0.3,0.0,18.9465,6.205,49.3,0.9944999999999999,15.3,481.1,0.0,0.255,0.0
"Turkey, nuggets",1 cup,140.0,54.0,17.14,1.7,8.66,30.0,22.19,334.0,3.0,0.0,0.2,23.996,31.066000000000003,12.124,75.6,2.38,42.0,467.6,0.0,0.28,4.2
"Turkey, prepackaged or deli, luncheon meat",Quantity not specified,56.0,14.0,2.2,0.42,3.77,19.0,14.81,810.0,0.0,0.0,0.2,1.2320000000000002,8.2936,2.1112,7.84,0.2352,10.64,453.6,0.0,0.11200000000000002,0.0
"Turkey, prepackaged or deli, luncheon meat, reduced sodium",Guideline amount on large sandwich,84.0,14.0,2.2,0.42,3.77,19.0,14.81,610.0,0.0,0.0,0.2,1.848,12.4404,3.1668000000000003,11.76,0.3528,15.96,512.4,0.0,0.168,0.0
"Turkey, tail",Quantity not specified,85.0,13.0,0.0,0.59,22.8,25.0,22.25,485.0,19.0,0.0,1.1,0.0,18.9125,19.38,11.05,0.5015,21.25,412.25,0.0,0.9350000000000002,16.15
"Turkey, thigh, cooked, skin eaten","1 medium thigh (approx 14 to 18 lb bird) (yield after cooking, bone removed)",300.0,9.0,0.27,1.34,9.26,22.0,24.36,457.0,13.0,0.0,0.3,0.81,73.08,27.78,27.0,4.02,66.0,1371.0,0.0,0.9,39.0
"Turkey, thigh, cooked, skin not eaten","1 medium thigh (approx 14 to 18 lb bird) (yield after cooking, bone and skin removed)",275.0,17.0,0.0,1.3,5.98,26.0,26.94,458.0,5.0,0.0,0.3,0.0,74.085,16.445000000000004,46.75,3.575,71.5,1259.5,0.0,0.825,13.75
"Turkey, wing, cooked, skin eaten","1 large wing (yield after cooking, bone removed)",240.0,21.0,0.0,1.16,9.97,26.0,26.87,442.0,3.0,0.0,0.2,0.0,64.488,23.928,50.4,2.784,62.4,1060.8,0.0,0.48,7.2
"Turkey, wing, cooked, skin not eaten","1 small wing (yield after cooking, bone and skin removed)",60.0,11.0,0.0,0.65,2.06,31.0,28.81,467.0,3.0,0.0,0.3,0.0,17.285999999999998,1.236,6.6,0.39,18.6,280.2,0.0,0.18,1.8
"Turnip greens, fresh, cooked, fat added",Quantity not specified,75.0,133.0,4.23,0.78,2.77,21.0,1.11,149.0,380.0,26.5,0.0,3.1725000000000008,0.8325000000000001,2.0775,99.75,0.585,15.75,111.75,19.875,0.0,285.0
"Turnip greens, fresh, cooked, no added fat",Quantity not specified,73.0,137.0,4.35,0.8,0.23,22.0,1.14,145.0,380.0,27.3,0.0,3.1754999999999995,0.8321999999999999,0.1679,100.01,0.5840000000000001,16.06,105.85,19.929000000000002,0.0,277.4
"Turnip greens, frozen, cooked, fat added",1 cup,170.0,148.0,4.83,1.88,2.95,25.0,3.25,136.0,532.0,21.1,0.0,8.211,5.525,5.015000000000001,251.6,3.1959999999999997,42.5,231.2,35.870000000000005,0.0,904.4
"Turnip greens, frozen, cooked, no added fat",Quantity not specified,83.0,152.0,4.96,1.93,0.42,26.0,3.34,131.0,536.0,21.7,0.0,4.1168000000000005,2.7721999999999998,0.3486,126.16,1.6018999999999999,21.58,108.73,18.011,0.0,444.88
"Turnip, cooked",1 cup,160.0,32.0,6.7,0.32,2.84,11.0,0.95,200.0,12.0,18.6,0.0,10.72,1.52,4.544,51.2,0.512,17.6,320.0,29.76,0.0,19.2
"Turnip, pickled",1 cup,155.0,27.0,10.19,0.25,0.1,9.0,0.75,1000.0,0.0,14.8,0.0,15.794499999999998,1.1625,0.155,41.85,0.3875,13.95,1550.0,22.94,0.0,0.0
"Turnip, raw",Quantity not specified,65.0,30.0,6.43,0.3,0.1,11.0,0.9,67.0,0.0,21.0,0.0,4.1795,0.585,0.065,19.5,0.195,7.15,43.55,13.65,0.0,0.0
"Turnover or breakfast pocket, egg",1 small/individual,35.0,142.0,30.9,2.4,11.29,20.0,10.01,483.0,49.0,0.0,0.7,10.815,3.5035,3.9515,49.7,0.84,7.0,169.05,0.0,0.245,17.15
"Turnover or hot pocket, NFS",1 regular/large,130.0,218.0,27.9,1.88,11.92,22.0,10.26,536.0,44.0,0.4,0.2,36.27,13.338,15.495999999999999,283.4,2.444,28.6,696.8,0.52,0.26,57.2
"Turnover or hot pocket, beef",1 regular/large,130.0,91.0,24.49,2.11,10.25,18.0,10.35,455.0,9.0,2.1,0.0,31.837,13.455,13.325,118.3,2.7430000000000003,23.4,591.5,2.73,0.0,11.7
"Turnover or hot pocket, chicken",1 small/individual,35.0,88.0,24.49,1.73,8.21,20.0,10.71,456.0,10.0,2.1,0.0,8.5715,3.7485000000000004,2.8735000000000004,30.8,0.6054999999999999,7.0,159.6,0.735,0.0,3.5
"Turnover or hot pocket, ham",1 small/individual,35.0,98.0,27.85,1.87,11.82,19.0,9.32,562.0,10.0,2.4,0.1,9.7475,3.262,4.137,34.3,0.6545000000000001,6.65,196.7,0.84,0.035,3.5
"Turnover or hot pocket, meatless",Quantity not specified,105.0,97.0,27.03,1.72,7.78,16.0,5.07,504.0,15.0,4.5,0.0,28.381500000000003,5.3235,8.169,101.85,1.806,16.8,529.2,4.725,0.0,15.75
"Turnover or hot pocket, pizza pocket",1 regular/large,130.0,231.0,29.68,1.91,9.62,22.0,9.66,466.0,47.0,0.4,0.1,38.584,12.558,12.505999999999998,300.3,2.4829999999999997,28.6,605.8,0.52,0.13,61.1
"Turnover or hot pocket, pizza pocket, meat",1 regular/large,130.0,218.0,27.9,1.88,11.92,22.0,10.26,536.0,44.0,0.4,0.2,36.27,13.338,15.495999999999999,283.4,2.444,28.6,696.8,0.52,0.26,57.2
Turnover or lean pocket,Quantity not specified,105.0,85.0,24.38,1.72,7.5,20.0,10.61,378.0,12.0,3.2,0.0,25.599,11.1405,7.875,89.25,1.806,21.0,396.9,3.36,0.0,12.6
"Turnover, fruit","1 item, any size",75.0,22.0,42.6,1.22,16.1,10.0,3.0,333.0,5.0,1.3,0.0,31.95,2.25,12.075,16.5,0.915,7.5,249.75,0.975,0.0,3.75
"Turnover, seafood",1 small/individual,35.0,89.0,24.57,1.66,7.91,20.0,9.39,382.0,13.0,2.1,0.5,8.5995,3.2865,2.7685000000000004,31.15,0.581,7.0,133.7,0.735,0.175,4.55
"Turrnip greens, NS as to form, cooked",Quantity not specified,75.0,133.0,4.23,0.78,2.77,21.0,1.11,149.0,380.0,26.5,0.0,3.1725000000000008,0.8325000000000001,2.0775,99.75,0.585,15.75,111.75,19.875,0.0,285.0
Turtle,Quantity not specified,85.0,147.0,0.0,1.75,5.8,25.0,24.59,285.0,35.0,0.0,0.0,0.0,20.901500000000002,4.93,124.95,1.4875,21.25,242.25,0.0,0.0,29.75
Tzatziki dip,1 tablespoon,15.0,70.0,4.1,0.03,6.0,10.0,5.22,307.0,23.0,1.8,0.0,0.6149999999999999,0.7829999999999999,0.9,10.5,0.0045,1.5,46.05,0.27,0.0,3.45
Upma,Quantity not specified,170.0,96.0,13.81,4.06,2.64,10.0,1.98,98.0,11.0,11.0,0.0,23.477000000000004,3.366,4.488,163.2,6.901999999999999,17.0,166.6,18.7,0.0,18.7
Vada,Quantity not specified,60.0,24.0,33.25,3.57,9.73,27.0,12.75,315.0,5.0,9.5,0.0,19.95,7.65,5.838000000000001,14.4,2.142,16.2,189.0,5.7,0.0,3.0
Veal Marsala,Quantity not specified,96.0,14.0,6.74,1.05,8.54,24.0,17.82,147.0,43.0,1.4,0.5,6.4704,17.1072,8.1984,13.44,1.008,23.04,141.12,1.3439999999999999,0.48,41.28
Veal cordon bleu,Quantity not specified,229.0,97.0,9.34,1.32,9.69,30.0,23.66,443.0,49.0,1.8,0.7,21.3886,54.181400000000004,22.190099999999997,222.13,3.0228,68.7,1014.47,4.122,1.6029999999999998,112.21
Veal parmigiana,1 patty with sauce and cheese,182.0,122.0,8.33,1.26,11.92,33.0,15.33,436.0,47.0,2.0,1.1,15.160599999999999,27.9006,21.6944,222.04,2.2932,60.06,793.52,3.64,2.0020000000000002,85.54
Veal scallopini,1 cup,140.0,40.0,1.47,0.75,17.47,19.0,18.71,372.0,109.0,0.4,0.5,2.058,26.194000000000003,24.458,56.0,1.05,26.6,520.8,0.56,0.7,152.6
"Veal, chop",Quantity not specified,90.0,13.0,0.07,0.78,4.4,33.0,29.51,391.0,0.0,0.0,0.8,0.063,26.559,3.9600000000000004,11.7,0.7020000000000001,29.7,351.9,0.0,0.72,0.0
"Veal, ground",1 cubic inch,17.0,18.0,1.5,1.49,11.69,34.0,25.62,452.0,0.0,0.0,1.4,0.255,4.3554,1.9872999999999998,3.06,0.25329999999999997,5.78,76.84,0.0,0.23799999999999996,0.0
Vegan mayonnaise,Guideline amount on large sandwich,28.0,0.0,16.0,0.0,19.2,0.0,0.3,497.0,0.0,0.0,0.0,4.48,0.084,5.376,0.0,0.0,0.0,139.16,0.0,0.0,0.0
"Vegetable and fruit juice drink, with high vitamin C",1 fl oz (no ice),31.0,3.0,7.47,0.04,0.01,1.0,0.04,21.0,104.0,32.5,0.0,2.3157,0.0124,0.0031,0.93,0.0124,0.31,6.51,10.075,0.0,32.24
"Vegetable and fruit juice drink, with high vitamin C, diet",1 fl oz (NFS),30.0,8.0,1.1,0.3,0.0,1.0,0.0,14.0,105.0,25.1,0.0,0.33,0.0,0.0,2.4,0.09,0.3,4.2,7.53,0.0,31.5
"Vegetable and fruit juice drink, with high vitamin C, light",1 fl oz (no ice),30.0,8.0,1.1,0.3,0.0,1.0,0.0,14.0,105.0,25.1,0.0,0.33,0.0,0.0,2.4,0.09,0.3,4.2,7.53,0.0,31.5
"Vegetable and fruit juice, 100% juice, with high vitamin C",1 fl oz (NFS),31.0,8.0,11.15,0.31,0.01,7.0,0.3,29.0,36.0,28.5,0.0,3.4565,0.09299999999999999,0.0031,2.48,0.09609999999999999,2.17,8.99,8.835,0.0,11.16
Vegetable chips,1 large single serving bag,85.0,66.0,59.2,1.6,26.56,70.0,4.72,329.0,53.0,8.5,0.0,50.32,4.012,22.576,56.1,1.36,59.5,279.65,7.225,0.0,45.05
Vegetable curry,Quantity not specified,240.0,21.0,8.81,0.68,5.27,16.0,1.6,388.0,66.0,12.3,0.0,21.144000000000002,3.84,12.648,50.4,1.6320000000000001,38.4,931.2,29.52,0.0,158.4
Vegetable curry with rice,Quantity not specified,200.0,17.0,16.48,0.88,3.27,15.0,2.03,331.0,39.0,7.4,0.0,32.96,4.06,6.54,34.0,1.76,30.0,662.0,14.8,0.0,78.0
"Vegetable dip, light",1 tablespoon,15.0,79.0,13.6,0.3,15.19,9.0,2.04,602.0,46.0,1.6,0.1,2.04,0.306,2.2784999999999997,11.85,0.045,1.35,90.3,0.24,0.015,6.9
"Vegetable dip, regular",1 individual container,70.0,68.0,3.57,0.32,45.12,9.0,2.23,713.0,82.0,1.7,0.1,2.4989999999999997,1.561,31.583999999999996,47.6,0.22400000000000003,6.3,499.1,1.19,0.07,57.4
"Vegetable dip, yogurt based",1 individual container,70.0,103.0,3.76,0.29,16.03,13.0,8.16,641.0,74.0,1.9,0.0,2.6319999999999997,5.712000000000001,11.221000000000002,72.1,0.20299999999999996,9.1,448.7,1.33,0.0,51.8
"Vegetable mixture, dried",Quantity not specified,6.0,232.0,49.22,5.45,8.88,152.0,17.41,368.0,988.0,193.4,0.0,2.9532,1.0446,0.5328,13.92,0.327,9.12,22.08,11.604000000000001,0.0,59.28
"Vegetable oil, NFS",1 cup,224.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.35840000000000005,0.0,0.0,0.0,0.0,0.0
Vegetable sandwich on wheat,Quantity not specified,165.0,76.0,20.14,1.67,2.25,26.0,4.67,370.0,32.0,18.8,0.0,33.231,7.7055,3.7125,125.4,2.7555,42.9,610.5,31.02,0.0,52.8
"Vegetable sandwich on wheat, with cheese",1 regular,185.0,170.0,18.42,1.53,5.24,27.0,6.46,443.0,59.0,16.7,0.4,34.077000000000005,11.950999999999999,9.694,314.5,2.8305000000000002,49.95,819.55,30.895,0.74,109.15
Vegetable sandwich on white,1 regular,165.0,94.0,21.53,1.74,2.11,15.0,3.94,374.0,32.0,18.8,0.0,35.5245,6.501,3.4814999999999996,155.1,2.8710000000000004,24.75,617.1,31.02,0.0,52.8
"Vegetable sandwich on white, with cheese",1 large,280.0,186.0,19.65,1.59,5.11,17.0,5.82,446.0,59.0,16.6,0.4,55.02,16.296000000000003,14.308000000000002,520.8,4.452000000000001,47.6,1248.8,46.48,1.12,165.2
Vegetable sandwich wrap,"1 sandwich, any size",165.0,165.0,19.71,1.68,6.55,15.0,5.42,528.0,59.0,16.6,0.4,32.5215,8.943,10.8075,272.25,2.772,24.75,871.2,27.390000000000004,0.66,97.35
Vegetable smoothie,1 small,540.0,73.0,5.84,0.41,6.63,31.0,2.75,38.0,75.0,8.1,0.5,31.535999999999998,14.85,35.802,394.2,2.214,167.4,205.2,43.74,2.7,405.0
Vegetable tempura,1 fritter,30.0,22.0,20.45,1.54,15.81,15.0,3.81,12.0,60.0,16.0,0.2,6.135,1.143,4.743,6.6,0.462,4.5,3.6,4.8,0.06,18.0
"Vegetables, pickled",Quantity not specified,30.0,21.0,10.18,0.22,0.21,10.0,0.94,983.0,194.0,40.7,0.0,3.054,0.282,0.063,6.3,0.066,3.0,294.9,12.21,0.0,58.2
"Vegetables, stew type, cooked, fat added",Quantity not specified,83.0,18.0,15.11,0.25,3.64,18.0,1.44,181.0,257.0,8.8,0.0,12.5413,1.1952,3.0212,14.94,0.2075,14.94,150.23,7.304000000000001,0.0,213.31
"Vegetables, stew type, cooked, no added fat",Quantity not specified,80.0,18.0,15.74,0.26,0.18,18.0,1.49,169.0,248.0,9.2,0.0,12.592,1.192,0.144,14.4,0.20800000000000002,14.4,135.2,7.36,0.0,198.4
Vegetarian stew,Quantity not specified,185.0,33.0,3.12,0.22,2.15,15.0,0.67,144.0,29.0,4.7,0.0,5.772,1.2395,3.9775,61.05,0.40700000000000003,27.75,266.4,8.695,0.0,53.65
Vegetarian stroganoff,"1 cup, cooked",125.0,82.0,11.78,1.25,10.03,28.0,7.69,460.0,32.0,2.3,0.1,14.725,9.6125,12.5375,102.5,1.5625,35.0,575.0,2.875,0.125,40.0
"Vegetarian, fillet",1 fillet,85.0,95.0,9.0,2.0,18.0,23.0,23.0,490.0,0.0,0.0,0.0,7.65,19.55,15.3,80.75,1.7,19.55,416.5,0.0,0.0,0.0
"Veggie burger patty, no bun",1 patty,100.0,136.0,14.27,2.41,6.3,56.0,15.7,569.0,1.0,4.5,0.0,14.27,15.7,6.3,136.0,2.41,56.0,569.0,4.5,0.0,1.0
"Veggie burger, on bun",Quantity not specified,160.0,140.0,30.82,2.88,5.2,41.0,12.96,534.0,1.0,3.0,0.0,49.312,20.736000000000004,8.32,224.0,4.608,65.6,854.4,4.8,0.0,1.6
"Veggie burger, on bun, with cheese",Quantity not specified,181.0,245.0,27.23,2.54,8.43,39.0,14.0,600.0,38.0,2.6,0.5,49.286300000000004,25.34,15.258299999999998,443.45,4.5974,70.59,1086.0,4.706,0.905,68.78
Venison or deer and noodles with cream or white sauce,Quantity not specified,311.0,41.0,14.48,1.5,5.37,18.0,8.37,292.0,42.0,0.0,0.4,45.032799999999995,26.030699999999996,16.700699999999998,127.51,4.665,55.98,908.12,0.0,1.244,130.62
Venison or deer with gravy,Quantity not specified,183.0,7.0,1.58,3.52,3.53,20.0,25.48,345.0,0.0,0.0,0.0,2.8914,46.6284,6.4599,12.81,6.441599999999999,36.6,631.35,0.0,0.0,0.0
