recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Applesauce, unsweetened",Quantity not specified,120.0,4.0,12.26,0.04,0.16,4.0,0.27,1.0,0.0,43.7,0.0,14.712,0.32400000000000007,0.192,4.8,0.048,4.8,1.2,52.44,0.0,0.0
Apricot nectar,Quantity not specified,248.0,11.0,13.63,0.1,0.45,5.0,0.17,8.0,16.0,29.7,0.0,33.802400000000006,0.42160000000000003,1.116,27.28,0.248,12.4,19.84,73.65599999999999,0.0,39.68
"Apricot, canned",1 half,18.0,7.0,13.85,0.3,0.17,6.0,0.65,3.0,90.0,3.1,0.0,2.493,0.117,0.030600000000000002,1.26,0.05399999999999999,1.08,0.54,0.558,0.0,16.2
"Apricot, dried",1 cup,160.0,55.0,62.64,2.66,0.51,32.0,3.39,10.0,180.0,1.0,0.0,100.22399999999999,5.4239999999999995,0.816,88.0,4.256,51.2,16.0,1.6,0.0,288.0
"Apricot, raw",1 slice/chunk,10.0,13.0,11.12,0.39,0.39,10.0,1.4,1.0,96.0,10.0,0.0,1.1119999999999999,0.14,0.03900000000000001,1.3,0.03900000000000001,1.0,0.1,1.0,0.0,9.6
Arepa Dominicana,"1 piece (4"" x 2"" x 1-3/4"")",115.0,82.0,30.47,2.31,14.0,28.0,5.66,399.0,62.0,0.8,0.8,35.040499999999994,6.5089999999999995,16.1,94.3,2.6565000000000003,32.2,458.85,0.92,0.92,71.3
Armadillo,Quantity not specified,85.0,16.0,0.0,1.11,4.34,27.0,28.08,367.0,0.0,0.0,0.0,0.0,23.868,3.6889999999999996,13.6,0.9435000000000001,22.95,311.95,0.0,0.0,0.0
Artichoke,1 cup,150.0,21.0,11.95,0.61,0.34,42.0,2.89,60.0,1.0,7.4,0.0,17.925,4.335,0.5100000000000001,31.5,0.915,63.0,90.0,11.1,0.0,1.5
Artichoke dip,1 tablespoon,15.0,103.0,5.78,0.21,32.67,13.0,3.86,607.0,71.0,2.0,0.1,0.867,0.579,4.9005,15.45,0.0315,1.95,91.05,0.3,0.015,10.65
"Artichokes, stuffed",1 stuffed globe,250.0,85.0,22.28,1.43,5.94,32.0,5.33,404.0,14.0,5.3,0.0,55.7,13.325,14.85,212.5,3.575,80.0,1010.0,13.25,0.0,35.0
