recipe,default_portion,default_portion_in_grams,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
Soup,recipe_1_person,475.125,147.87625,48.2357125,2.1248375,69.4007,73.61,13.1899625,724.34,233.3075,62.04825,0.0,31.123651670613,10.152215206524597,0.4472165219679032,14.606829781636414,15.492765061825835,2.7761036569323863,152.4525124967114,49.10444619836885,13.05935280189424,0.0
Banana,Quantity not specified,126.0,6.3,28.6146,0.0,0.3528,35.28,0.9324,0.0,1.26,15.12,0.0,5.0,22.71,0.0,0.28,28.0,0.74,0.0,1.0,12.0,0.0
Pasta,"1 oz, dry, yields",80.0,5.6,24.544,1.016,0.7360000000000001,14.4,4.608,185.6,0.0,0.0,0.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0
Cream,Quantity not specified,20.0,12.2,0.76,0.0,7.112,1.2,0.4039999999999999,4.2,65.4,0.12,0.32,61.0,3.8,0.0,35.56,6.0,2.02,21.0,327.0,0.6,1.6
Cake,recipe_1_person,493.9,187.94025,79.9906625,6.540575,37.267635,118.817,31.5467375,955.396,186.6025,2.45675,1.168125,38.0522879125329,16.19572028750759,1.3242711075116418,7.545583113990687,24.056894108119057,6.387272221097389,193.43915772423568,37.78143348856044,0.4974185057703989,0.2365104272119862
Salad,1 tablespoon,15.6,4.368,0.9204,0.0467999999999999,6.948239999999999,0.78,0.20592,126.36,2.34,0.0,0.0156,28.0,5.9,0.3,44.54,5.0,1.32,810.0,15.0,0.0,0.1
Potatoes steamed,recipe_1_person,298.5,279.5425,37.403400000000005,1.6989500000000002,19.91515,39.5125,11.12515,691.51,164.615,62.02775,0.5625,93.64907872696816,12.530452261306532,0.5691624790619766,6.671742043551088,13.237018425460636,3.7270184254606367,231.6616415410385,55.14740368509213,20.779815745393638,0.1884422110552764
White cabbage,Quantity not specified,45.0,47.25,0.981,0.36,0.09,8.55,0.675,29.25,100.35,20.25,0.0,105.0,2.18,0.8,0.2,19.0,1.5,65.0,223.0,45.0,0.0
Applesauce,Quantity not specified,120.0,4.8,14.712,0.048,0.192,4.8,0.324,1.2,0.0,52.44,0.0,4.0,12.26,0.04,0.16,4.0,0.27,1.0,0.0,43.7,0.0
Mushrooms,Quantity not specified,35.0,1.75,1.4454999999999998,0.0805,0.1225,3.5,1.015,2.1,0.0,0.735,0.0,5.0,4.13,0.23,0.35,10.0,2.9,6.0,0.0,2.1,0.0
Egg,1 egg white,33.0,2.31,0.7787999999999999,0.0264,0.0,3.63,3.531,54.78,0.0,0.0,0.0,7.0,2.36,0.08,0.0,11.0,10.7,166.0,0.0,0.0,0.0
Herbal tea,,,,,,,,,,,,,,,,,,,,,,
Beef,1 regular,160.0,28.8,0.0,5.136,6.8,27.2,47.552,611.2,8.0,0.0,0.0,18.0,0.0,3.21,4.25,17.0,29.72,382.0,5.0,0.0,0.0
Zucchini,recipe_1_person,122.4875,74.854375,25.879745,1.43757,11.40781,19.427625,8.1421125,383.481625,45.508625,4.927999999999999,0.4665999999999999,61.111848147770175,21.12847841616491,1.1736462904377996,9.313448311052149,15.860904173895294,6.647300744973976,313.07817124196345,37.15368915195428,4.0232676803755485,0.380936830288805
Mandarine,Quantity not specified,109.0,40.33,14.5406,0.1634999999999999,0.3379,13.08,0.8829,2.18,37.06,29.103,0.0,37.0,13.34,0.15,0.31,12.0,0.81,2.0,34.0,26.7,0.0
Juice,recipe_1_person,134.2,13.695,29.326635,0.27749,1.7609850000000002,8.600999999999999,0.42338,13.11,16.88,10.393,0.0,10.204918032786884,21.85293219076005,0.2067734724292101,1.312209388971684,6.409090909090908,0.3154843517138598,9.769001490312965,12.578241430700446,7.74441132637854,0.0
Caprese salad (Tomato Mozzarella),1 stick,28.35,196.4655,1.2587400000000002,0.0567,5.7834,7.6545,6.71895,198.1665,57.5505,0.0,0.1134,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4
Wine,1/2 bottle,375.0,30.0,9.7875,1.725,0.0,45.0,0.2625,15.0,0.0,0.0,0.0,8.0,2.61,0.46,0.0,12.0,0.07,4.0,0.0,0.0,0.0
Pasta,1 cup,160.0,51.2,28.32,3.664,11.872,24.0,20.144,1232.0,56.0,0.16,0.64,32.0,17.7,2.29,7.42,15.0,12.59,770.0,35.0,0.1,0.4
Omelette,1 cup,135.0,62.1,1.2285,2.106,20.25,13.5,15.633,334.8,260.55,0.0,3.24,46.0,0.91,1.56,15.0,10.0,11.58,248.0,193.0,0.0,2.4
Dark chocolate,1 individual school container,248.0,270.32,30.082400000000003,0.5952,4.712,34.72,7.415200000000001,163.68,158.72,0.0,2.9759999999999995,109.0,12.13,0.24,1.9,14.0,2.99,66.0,64.0,0.0,1.2
